,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,57.462,58.42,61.695,53.15,56.31,55.15,55.65,55.944,56.427,61.745,66.03,61.77
1,57.744,58.602,61.434,54.27,55.55,55.74,56.865,55.999,56.927,61.498,66.079,63.467
2,57.643,58.337,61.2,49.14,54.88,57.26,55.05,56.522,55.364,65.897,66.623,63.142
3,57.973,57.986,61.648,55.66,55.91,53.86,56.225,55.14,55.688,63.563,66.646,62.322
4,57.438,58.424,61.603,48.59,56.57,54.96,55.959,55.256,55.371,65.58,62.355,65.657
5,57.499,59.068,61.276,57.26,54.25,54.86,56.922,56.35,55.275,66.032,63.152,61.158
6,57.289,58.589,61.784,55.18,55.98,56.62,55.732,56.873,56.27,65.712,65.879,66.919
7,58.185,58.27,61.655,53.24,54.71,55.06,56.629,56.001,56.886,63.667,64.045,62.512
8,57.736,58.2,61.7,58.65,56.0,54.9,55.513,55.529,55.726,64.578,62.679,66.397
9,57.346,58.688,61.64,55.22,54.51,55.67,55.563,55.157,55.667,66.473,66.949,66.287
