,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,70.932,72.051,75.843,70.344,75.832,71.043,67.783,67.536,68.397,57.965,60.475,59.522
1,70.582,72.459,75.304,66.012,75.346,75.277,69.13,68.073,68.406,60.025,60.925,57.603
2,71.304,72.014,75.233,64.187,65.753,72.746,67.569,69.525,68.179,57.664,58.982,57.485
3,71.077,72.142,75.453,64.905,73.488,73.075,68.727,69.674,69.528,57.03,58.229,60.522
4,70.809,72.202,75.379,74.722,70.868,68.304,68.403,67.533,67.598,57.105,60.495,59.421
5,70.914,72.107,75.345,70.178,67.791,65.948,69.616,68.966,68.307,57.828,57.441,57.457
6,71.154,72.018,75.645,71.168,66.024,68.182,69.462,69.359,69.884,58.123,57.208,57.947
7,71.414,72.185,75.335,68.59,66.705,64.894,69.435,69.522,69.767,60.467,59.881,60.723
8,71.141,71.648,75.287,69.992,69.323,65.587,68.169,67.775,69.194,57.557,57.643,60.535
9,71.149,71.933,75.927,70.622,64.397,68.093,68.855,69.007,69.018,58.825,60.197,57.056
