,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,57.019,58.059,61.785,55.37,53.15,56.51,53.181,53.214,52.199,57.631,60.04,56.842
1,57.372,59.402,61.596,55.09,54.27,60.93,52.974,53.83,52.279,57.106,57.439,60.881
2,57.819,58.291,61.598,59.5,59.14,56.0,50.22,51.531,51.093,56.6,55.072,60.107
3,57.078,58.717,61.621,55.47,55.66,58.83,50.092,50.206,50.7,55.85,58.658,59.578
4,57.81,58.182,61.458,55.24,48.59,57.33,50.584,50.308,52.023,55.156,56.081,60.976
5,57.192,58.645,61.259,53.19,57.26,59.71,50.633,52.723,53.564,59.926,61.647,60.541
6,57.053,59.021,61.478,57.77,55.18,55.28,52.367,50.728,52.409,55.478,57.684,60.678
7,57.125,58.311,61.499,50.08,53.24,55.33,51.505,52.184,53.724,60.487,61.122,56.318
8,57.578,58.738,61.782,52.81,58.65,58.55,50.079,53.829,53.863,59.026,57.2,61.593
9,57.296,58.523,61.547,50.75,55.22,55.99,52.572,50.639,51.267,60.947,58.765,60.077
