,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,58.672,60.477,63.011,56.51,57.96,59.22,60.643,58.676,58.689,73.067,67.825,67.575
1,59.018,59.875,62.916,60.93,57.16,59.2,60.528,59.838,60.909,72.781,71.178,70.157
2,58.854,60.018,63.15,56.0,59.17,57.69,59.885,58.65,60.486,73.836,73.531,67.51
3,59.317,59.799,62.813,58.83,57.54,55.44,59.781,58.499,58.486,66.093,69.106,67.865
4,59.408,59.994,63.197,57.33,58.48,55.93,59.563,58.524,58.061,70.543,67.065,72.549
5,59.429,59.859,62.967,59.71,58.62,55.42,59.5,59.264,59.103,68.541,68.331,71.183
6,59.136,60.439,63.395,55.28,58.72,57.71,60.098,60.275,59.675,71.516,72.476,66.379
7,59.41,59.962,62.986,55.33,58.01,56.71,58.992,58.722,58.912,69.792,68.231,70.439
8,58.881,60.087,62.866,58.55,57.92,57.63,58.81,60.772,59.095,72.36,69.408,68.575
9,59.184,59.783,62.762,55.99,55.49,57.94,59.383,59.654,60.979,73.972,72.861,73.601
