,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,71.278,72.776,76.44,70.709,73.564,68.967,69.011,69.458,69.748,77.699,79.133,78.15
1,71.485,72.209,76.722,69.279,74.863,71.134,69.143,70.675,69.126,78.406,77.3,76.67
2,71.423,72.488,76.424,67.823,71.463,73.408,70.158,69.329,69.895,74.113,80.583,78.783
3,71.839,72.475,76.665,73.409,70.514,71.73,69.1,69.326,70.054,78.845,76.898,78.821
4,71.458,72.632,76.145,73.689,69.837,71.103,69.055,69.309,70.046,79.57,74.083,80.471
5,71.342,72.278,76.725,72.213,70.192,67.553,69.638,70.314,70.17,78.415,75.671,77.695
6,71.398,72.367,76.488,72.438,74.718,66.836,69.303,70.284,69.715,80.46,78.186,73.025
7,70.759,72.374,77.038,74.057,69.705,69.975,69.877,70.385,69.534,78.735,74.596,79.054
8,71.256,72.509,76.906,66.033,68.916,68.793,70.574,70.88,69.067,76.743,80.123,76.215
9,71.304,72.285,76.161,72.134,70.423,72.3,70.906,69.3,69.814,75.416,79.728,75.999
