,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,57.207,57.926,62.108,57.402,50.471,50.35,63.172,63.166,63.234,52.886,53.882,53.577
1,56.934,57.956,61.836,56.497,66.78,54.334,64.018,64.708,64.965,52.354,54.688,55.518
2,57.243,58.225,61.665,57.686,57.875,48.451,64.503,64.024,63.83,54.346,55.936,53.334
3,56.746,57.929,62.418,58.386,52.07,48.019,63.807,64.492,63.867,55.844,52.806,54.908
4,56.59,57.784,61.924,49.34,51.728,49.811,63.555,64.781,64.536,52.497,55.18,53.678
5,56.84,58.014,61.62,51.158,51.722,51.267,64.931,63.579,64.191,55.743,53.186,52.012
6,57.112,57.885,62.121,51.424,47.06,48.74,63.272,63.524,63.053,53.553,54.78,54.74
7,57.144,58.206,61.845,66.481,50.89,53.512,64.879,63.996,63.346,53.722,54.52,52.024
8,57.2,58.063,61.829,56.631,51.465,52.87,63.784,63.33,63.186,52.867,53.883,54.429
9,56.669,57.948,62.176,54.454,49.743,47.806,64.11,63.323,64.098,55.381,53.078,53.787
