,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,70.764,71.331,73.678,69.319,70.418,68.496,61.09,61.168,59.251,64.311,66.31,67.445
1,69.975,70.744,73.842,63.423,70.896,64.464,60.051,59.425,61.476,66.511,65.931,68.711
2,70.212,71.125,72.989,70.848,68.934,66.416,61.981,61.241,61.938,65.508,67.375,66.197
3,69.651,70.833,73.434,69.842,65.798,64.854,59.502,60.477,60.196,66.968,65.833,66.737
4,69.605,71.037,73.084,66.438,65.481,69.225,59.608,59.75,59.072,67.979,63.862,68.023
5,70.369,70.616,73.338,68.139,66.351,65.681,59.94,61.252,60.175,63.586,65.101,65.199
6,69.682,71.174,73.601,65.91,66.357,66.077,59.26,59.632,61.057,65.829,63.312,66.086
7,70.12,70.86,73.587,63.155,67.138,67.966,61.409,60.656,61.382,64.905,63.833,68.639
8,69.604,71.191,73.509,70.442,68.441,68.513,61.277,61.454,60.786,66.551,63.311,67.175
9,69.648,71.465,72.922,69.912,70.256,66.764,61.997,59.659,60.588,66.644,68.37,64.037
