,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,60.922,61.89,66.49,58.409,57.702,57.474,64.254,66.674,64.572,59.276,55.405,58.281
1,61.107,61.671,66.472,58.481,56.765,55.864,66.453,66.148,65.394,58.293,59.648,59.321
2,61.208,62.126,66.669,56.002,56.491,56.687,66.34,66.89,64.433,56.098,59.769,55.083
3,61.471,61.168,66.326,57.337,57.807,57.05,65.31,64.762,66.448,56.887,58.712,55.309
4,60.848,62.37,66.593,58.689,59.831,56.828,65.523,64.978,65.382,58.708,58.095,56.426
5,60.423,62.087,66.86,56.823,59.456,59.863,64.578,65.355,64.611,57.053,58.114,57.56
6,61.4,61.72,66.165,58.735,58.999,57.359,64.036,64.639,66.95,55.185,55.157,58.475
7,61.576,62.649,66.48,58.9,57.9,59.399,65.423,66.317,65.7,55.062,56.712,57.34
8,60.878,62.312,66.666,59.044,57.568,56.92,65.448,64.738,64.985,58.81,56.886,57.601
9,61.209,61.997,66.726,58.621,57.628,55.912,65.886,66.256,64.898,56.619,55.694,55.5
