,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,68.754,69.884,72.638,69.565,66.957,65.218,65.239,64.078,64.363,74.603,67.144,73.692
1,69.551,69.689,72.7,68.772,66.873,65.298,64.875,64.5,65.73,72.219,73.897,67.169
2,69.012,70.355,72.281,69.262,65.909,64.025,64.182,65.493,65.583,71.722,70.716,73.169
3,69.164,69.838,72.555,65.532,67.066,64.842,65.128,65.488,65.11,74.271,69.121,70.149
4,69.17,69.889,72.418,65.501,68.984,67.513,65.29,65.772,65.18,67.538,72.622,72.184
5,68.901,69.426,72.847,70.885,69.117,66.021,65.019,64.786,65.932,73.871,73.85,72.984
6,69.547,69.992,72.792,64.633,67.091,64.651,65.614,65.567,65.372,67.63,70.736,68.919
7,68.845,69.976,72.182,68.227,69.305,69.916,64.56,65.084,65.584,72.29,74.414,71.885
8,68.732,70.329,72.299,70.58,65.983,65.96,64.296,65.923,64.624,71.171,70.455,72.344
9,69.586,70.547,72.395,63.832,64.346,67.072,65.482,64.165,65.713,73.996,73.243,74.953
