,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.176,0.2,0.211,0.153,0.123,0.165,0.243,0.269,0.253,0.227,0.247,0.211
1,0.178,0.207,0.189,0.21,0.159,0.122,0.273,0.223,0.237,0.24,0.225,0.238
2,0.18,0.204,0.215,0.14,0.176,0.132,0.254,0.247,0.248,0.234,0.224,0.23
3,0.197,0.198,0.207,0.16,0.17,0.14,0.24,0.221,0.264,0.213,0.246,0.241
4,0.193,0.197,0.197,0.16,0.138,0.136,0.227,0.28,0.233,0.248,0.242,0.22
5,0.187,0.208,0.205,0.17,0.161,0.169,0.277,0.252,0.232,0.228,0.219,0.221
6,0.191,0.211,0.22,0.18,0.163,0.143,0.229,0.234,0.257,0.231,0.218,0.244
7,0.193,0.207,0.209,0.19,0.179,0.12,0.235,0.256,0.242,0.217,0.236,0.216
8,0.183,0.206,0.202,0.15,0.157,0.144,0.231,0.278,0.22,0.249,0.214,0.237
9,0.187,0.214,0.201,0.15,0.158,0.128,0.262,0.255,0.225,0.226,0.212,0.233
