,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.203,0.205,0.196,0.253,0.196,0.217,0.17,0.205,0.173,0.277,0.239,0.237
1,0.204,0.206,0.198,0.245,0.241,0.213,0.178,0.176,0.196,0.273,0.272,0.257
2,0.205,0.2,0.189,0.264,0.228,0.194,0.209,0.174,0.202,0.262,0.265,0.28
3,0.206,0.212,0.208,0.215,0.226,0.187,0.19,0.185,0.183,0.25,0.231,0.266
4,0.203,0.205,0.212,0.202,0.256,0.233,0.177,0.171,0.184,0.271,0.245,0.279
5,0.206,0.198,0.201,0.218,0.223,0.185,0.193,0.207,0.195,0.261,0.255,0.241
6,0.206,0.199,0.207,0.183,0.252,0.201,0.181,0.175,0.2,0.264,0.232,0.236
7,0.205,0.208,0.195,0.212,0.237,0.186,0.198,0.18,0.189,0.242,0.256,0.24
8,0.205,0.208,0.196,0.267,0.209,0.189,0.188,0.201,0.197,0.276,0.274,0.247
9,0.201,0.194,0.201,0.257,0.246,0.255,0.179,0.182,0.203,0.258,0.253,0.278
