,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.191,0.208,0.21,0.242,0.249,0.236,0.188,0.173,0.178,0.136,0.144,0.133
1,0.206,0.215,0.223,0.187,0.211,0.185,0.198,0.185,0.175,0.153,0.135,0.132
2,0.185,0.231,0.223,0.254,0.188,0.192,0.176,0.177,0.172,0.13,0.138,0.16
3,0.193,0.224,0.217,0.287,0.271,0.278,0.171,0.192,0.19,0.146,0.143,0.158
4,0.186,0.228,0.218,0.283,0.195,0.221,0.187,0.18,0.195,0.141,0.142,0.152
5,0.19,0.222,0.206,0.197,0.263,0.28,0.199,0.186,0.194,0.139,0.154,0.14
6,0.193,0.223,0.21,0.213,0.208,0.207,0.182,0.181,0.174,0.147,0.156,0.137
7,0.204,0.226,0.22,0.217,0.255,0.238,0.183,0.201,0.193,0.145,0.149,0.157
8,0.202,0.227,0.21,0.252,0.27,0.247,0.17,0.196,0.179,0.155,0.148,0.131
9,0.187,0.231,0.226,0.268,0.288,0.226,0.189,0.2,0.197,0.15,0.159,0.134
