,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.19,0.219,0.224,0.187,0.204,0.216,0.207,0.22,0.198,0.215,0.181,0.211
1,0.197,0.228,0.221,0.229,0.182,0.235,0.214,0.216,0.195,0.182,0.163,0.169
2,0.199,0.226,0.208,0.22,0.199,0.234,0.19,0.211,0.197,0.197,0.171,0.202
3,0.194,0.225,0.21,0.191,0.196,0.172,0.209,0.213,0.218,0.178,0.194,0.176
4,0.197,0.224,0.204,0.188,0.208,0.238,0.192,0.2,0.205,0.189,0.18,0.168
5,0.192,0.229,0.212,0.183,0.211,0.223,0.206,0.191,0.215,0.164,0.2,0.165
6,0.206,0.228,0.218,0.174,0.173,0.236,0.203,0.196,0.201,0.16,0.208,0.188
7,0.194,0.22,0.213,0.195,0.17,0.202,0.219,0.212,0.204,0.187,0.206,0.204
8,0.189,0.229,0.204,0.176,0.203,0.184,0.193,0.217,0.199,0.174,0.186,0.191
9,0.2,0.22,0.213,0.186,0.209,0.205,0.194,0.21,0.202,0.218,0.216,0.195
