,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.11,0.118,0.133,0.102,0.121,0.11,0.163,0.143,0.151,0.205,0.2,0.166
1,0.111,0.123,0.128,0.108,0.132,0.12,0.158,0.117,0.167,0.169,0.189,0.201
2,0.114,0.116,0.123,0.128,0.143,0.13,0.161,0.146,0.152,0.176,0.16,0.193
3,0.114,0.124,0.13,0.116,0.151,0.16,0.166,0.149,0.126,0.162,0.209,0.173
4,0.108,0.119,0.134,0.128,0.144,0.14,0.118,0.114,0.168,0.204,0.207,0.181
5,0.11,0.12,0.129,0.117,0.104,0.1,0.119,0.127,0.137,0.167,0.185,0.161
6,0.103,0.118,0.127,0.127,0.108,0.16,0.132,0.14,0.164,0.179,0.19,0.17
7,0.109,0.123,0.125,0.139,0.11,0.14,0.138,0.153,0.136,0.194,0.171,0.165
8,0.112,0.115,0.131,0.118,0.09,0.08,0.171,0.169,0.16,0.168,0.187,0.196
9,0.11,0.124,0.126,0.109,0.11,0.13,0.173,0.128,0.133,0.172,0.182,0.163
