,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.142,0.159,0.15,0.154,0.136,0.153,0.08,0.085,0.118,0.154,0.168,0.144
1,0.14,0.154,0.153,0.124,0.114,0.121,0.107,0.092,0.088,0.167,0.153,0.155
2,0.137,0.155,0.159,0.144,0.157,0.126,0.109,0.083,0.086,0.148,0.147,0.161
3,0.136,0.159,0.158,0.134,0.156,0.148,0.102,0.116,0.098,0.17,0.15,0.151
4,0.141,0.152,0.157,0.158,0.154,0.112,0.095,0.084,0.094,0.157,0.163,0.165
5,0.134,0.152,0.157,0.146,0.123,0.122,0.115,0.1,0.104,0.143,0.146,0.152
6,0.141,0.153,0.149,0.111,0.16,0.11,0.097,0.108,0.099,0.149,0.141,0.16
7,0.144,0.155,0.158,0.147,0.139,0.131,0.089,0.082,0.093,0.164,0.142,0.166
8,0.14,0.157,0.158,0.149,0.151,0.159,0.091,0.119,0.106,0.169,0.158,0.162
9,0.138,0.153,0.158,0.133,0.119,0.135,0.114,0.081,0.105,0.14,0.156,0.145
