,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.136,0.158,0.154,0.192,0.188,0.158,0.13,0.115,0.133,0.202,0.209,0.218
1,0.136,0.154,0.15,0.178,0.179,0.189,0.141,0.125,0.143,0.197,0.212,0.183
2,0.143,0.156,0.151,0.156,0.21,0.195,0.124,0.117,0.121,0.196,0.192,0.214
3,0.143,0.155,0.158,0.167,0.171,0.201,0.119,0.144,0.122,0.181,0.18,0.203
4,0.143,0.152,0.159,0.186,0.183,0.153,0.131,0.116,0.111,0.195,0.204,0.191
5,0.138,0.155,0.159,0.182,0.165,0.163,0.147,0.138,0.148,0.193,0.184,0.205
6,0.144,0.157,0.153,0.204,0.175,0.193,0.129,0.113,0.112,0.199,0.185,0.207
7,0.136,0.152,0.155,0.208,0.202,0.18,0.14,0.127,0.137,0.186,0.216,0.22
8,0.14,0.152,0.157,0.151,0.146,0.17,0.128,0.132,0.11,0.194,0.201,0.189
9,0.135,0.153,0.149,0.185,0.149,0.152,0.146,0.135,0.145,0.215,0.2,0.217
