,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.196,0.233,0.217,0.235,0.207,0.229,0.232,0.217,0.221,0.168,0.198,0.173
1,0.201,0.234,0.218,0.196,0.209,0.193,0.242,0.22,0.215,0.172,0.166,0.167
2,0.207,0.227,0.214,0.185,0.184,0.224,0.237,0.212,0.218,0.174,0.16,0.175
3,0.19,0.221,0.214,0.183,0.181,0.189,0.224,0.235,0.214,0.164,0.182,0.185
4,0.195,0.235,0.212,0.233,0.191,0.225,0.211,0.238,0.222,0.165,0.176,0.162
5,0.189,0.232,0.214,0.202,0.227,0.192,0.219,0.228,0.229,0.194,0.181,0.183
6,0.192,0.227,0.215,0.197,0.211,0.239,0.23,0.216,0.241,0.171,0.161,0.195
7,0.195,0.223,0.217,0.232,0.186,0.2,0.21,0.234,0.24,0.186,0.187,0.179
8,0.203,0.224,0.216,0.228,0.226,0.222,0.223,0.227,0.239,0.188,0.191,0.178
9,0.188,0.213,0.216,0.208,0.213,0.194,0.231,0.233,0.225,0.177,0.189,0.192
