,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.191,0.229,0.225,0.182,0.213,0.199,0.175,0.165,0.176,0.157,0.142,0.159
1,0.199,0.223,0.214,0.212,0.201,0.171,0.166,0.18,0.167,0.163,0.151,0.169
2,0.191,0.232,0.217,0.238,0.193,0.227,0.164,0.183,0.184,0.132,0.131,0.145
3,0.196,0.223,0.207,0.223,0.211,0.196,0.161,0.182,0.17,0.141,0.144,0.166
4,0.202,0.215,0.221,0.236,0.17,0.178,0.168,0.189,0.162,0.161,0.146,0.135
5,0.197,0.227,0.204,0.222,0.231,0.208,0.179,0.173,0.19,0.147,0.149,0.155
6,0.2,0.221,0.221,0.198,0.18,0.234,0.181,0.163,0.174,0.154,0.16,0.137
7,0.187,0.219,0.219,0.189,0.225,0.226,0.169,0.171,0.185,0.167,0.143,0.15
8,0.199,0.223,0.213,0.179,0.202,0.172,0.16,0.178,0.186,0.14,0.133,0.158
9,0.187,0.234,0.209,0.181,0.186,0.23,0.187,0.177,0.188,0.168,0.164,0.136
