,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.193,0.216,0.214,0.23,0.251,0.181,0.256,0.27,0.251,0.186,0.239,0.219
1,0.186,0.227,0.208,0.191,0.244,0.206,0.261,0.255,0.26,0.224,0.227,0.182
2,0.197,0.218,0.21,0.224,0.198,0.201,0.247,0.249,0.246,0.214,0.193,0.2
3,0.195,0.231,0.208,0.254,0.2,0.193,0.257,0.245,0.242,0.187,0.199,0.194
4,0.187,0.216,0.211,0.223,0.257,0.227,0.269,0.268,0.252,0.201,0.204,0.217
5,0.188,0.232,0.209,0.231,0.217,0.225,0.262,0.253,0.265,0.207,0.18,0.197
6,0.198,0.227,0.209,0.248,0.208,0.252,0.244,0.259,0.243,0.188,0.212,0.211
7,0.19,0.227,0.208,0.229,0.242,0.226,0.258,0.241,0.263,0.213,0.22,0.234
8,0.191,0.233,0.223,0.241,0.256,0.249,0.266,0.24,0.267,0.24,0.23,0.202
9,0.197,0.226,0.217,0.218,0.232,0.194,0.254,0.248,0.25,0.208,0.192,0.229
