,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.11,0.127,0.136,0.152,0.13,0.13,0.17,0.191,0.187,0.222,0.192,0.221
1,0.112,0.127,0.137,0.16,0.18,0.12,0.185,0.182,0.172,0.191,0.23,0.208
2,0.105,0.13,0.133,0.16,0.13,0.14,0.188,0.184,0.192,0.202,0.207,0.225
3,0.115,0.129,0.133,0.13,0.15,0.14,0.195,0.209,0.207,0.205,0.195,0.199
4,0.107,0.127,0.128,0.16,0.16,0.18,0.201,0.168,0.178,0.224,0.22,0.227
5,0.108,0.128,0.131,0.16,0.15,0.18,0.2,0.173,0.18,0.213,0.214,0.211
6,0.111,0.122,0.132,0.16,0.15,0.18,0.177,0.175,0.181,0.216,0.197,0.209
7,0.112,0.127,0.137,0.12,0.16,0.16,0.183,0.203,0.171,0.215,0.19,0.212
8,0.11,0.123,0.138,0.16,0.17,0.12,0.176,0.202,0.197,0.194,0.2,0.217
9,0.108,0.123,0.133,0.13,0.12,0.14,0.164,0.166,0.205,0.206,0.219,0.218
