,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,81.379,81.932,83.644,78.652,77.947,80.172,64.054,66.78,66.9,71.453,71.914,71.118
1,81.602,82.219,83.094,83.481,75.157,82.918,64.071,65.819,65.252,72.523,72.678,70.682
2,81.484,82.38,83.351,76.906,80.001,82.314,67.404,64.218,65.556,72.617,70.146,71.835
3,81.726,82.251,83.038,75.712,78.525,82.936,64.274,64.74,65.339,70.255,72.38,70.21
4,81.733,81.97,83.745,78.265,79.274,79.056,65.985,66.525,64.598,72.201,72.275,72.251
5,81.214,81.877,83.105,81.721,78.647,80.381,67.655,64.204,67.338,70.153,70.98,73.012
6,81.221,81.862,83.448,77.264,83.749,80.189,67.222,64.45,65.505,73.152,71.135,73.42
7,81.444,81.919,83.051,79.73,78.603,76.528,65.729,66.205,65.012,73.438,70.924,72.602
8,81.677,82.121,83.38,84.654,76.724,74.647,65.439,65.759,64.241,70.659,73.256,70.904
9,81.731,82.032,83.612,81.605,75.258,77.18,66.1,65.668,67.332,72.542,71.743,73.391
