,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,70.193,71.669,74.423,72.698,71.743,71.731,75.132,70.777,75.713,65.549,63.728,63.154
1,70.068,71.505,74.34,72.846,69.094,70.91,71.368,70.165,72.68,65.321,64.671,63.622
2,70.38,71.698,74.754,72.888,75.152,65.592,74.894,71.732,74.824,65.678,64.244,64.26
3,70.487,71.283,74.31,72.426,66.077,66.272,70.549,70.576,70.305,62.761,64.841,64.814
4,70.261,71.758,74.239,74.139,65.062,66.957,72.825,70.734,74.091,64.893,63.244,62.948
5,70.372,72.006,74.278,66.838,67.122,65.374,73.083,73.301,69.31,64.593,63.12,62.543
6,70.695,70.987,74.111,67.54,67.074,66.137,70.386,73.411,69.619,62.083,62.226,65.585
7,70.463,71.199,74.354,74.447,67.211,68.255,70.211,71.384,74.802,63.548,64.299,63.322
8,70.033,71.088,74.459,70.913,72.562,73.567,70.675,70.242,71.326,63.137,63.035,62.939
9,70.149,71.422,74.422,67.859,69.347,70.843,72.29,72.87,69.388,62.609,65.496,63.905
