,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,70.638,71.242,74.238,73.337,72.001,69.988,71.785,75.379,79.961,74.453,75.454,73.71
1,70.424,71.374,74.417,68.235,68.933,66.466,78.817,71.807,75.145,72.875,73.18,75.023
2,70.555,71.729,74.207,68.912,72.935,68.731,77.757,74.235,73.393,75.203,72.731,74.195
3,70.09,71.201,74.183,66.837,67.743,74.247,76.839,74.135,72.178,73.813,74.651,73.097
4,70.637,70.957,74.104,70.076,67.709,73.57,73.065,71.414,77.789,74.812,74.647,72.435
5,70.143,71.614,74.075,69.082,72.459,70.106,76.404,77.99,77.886,75.055,73.428,72.282
6,70.611,71.625,74.048,69.437,68.466,67.52,75.305,72.366,75.894,73.219,75.8,73.323
7,70.521,71.504,74.033,74.7,71.269,71.637,76.284,74.213,75.098,74.907,73.887,72.592
8,70.28,71.628,74.104,66.892,67.773,74.392,76.407,77.101,75.23,72.629,73.75,74.062
9,70.858,71.681,73.741,66.023,69.878,70.758,77.025,73.34,79.792,75.158,73.883,72.793
