,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,76.619,77.307,78.388,79.436,73.325,79.202,79.061,81.148,81.49,73.021,73.692,72.831
1,76.877,76.802,78.826,73.443,74.292,77.173,78.373,78.445,81.275,72.563,73.736,72.442
2,76.546,76.731,78.584,79.487,79.466,73.003,81.746,81.473,80.118,73.023,72.404,72.327
3,76.199,77.099,78.294,76.526,74.633,76.175,81.778,81.654,81.733,73.439,72.08,73.84
4,76.592,76.938,78.267,78.41,77.333,73.027,80.4,79.269,78.13,72.806,73.119,72.478
5,76.604,77.045,78.015,79.434,73.479,78.349,79.935,78.192,81.216,73.724,72.785,72.756
6,76.846,76.687,78.57,75.094,79.886,73.996,80.519,80.339,81.996,73.07,72.973,73.919
7,76.499,76.649,78.382,74.583,77.353,71.309,80.909,80.3,79.953,73.262,72.094,72.86
8,76.124,76.742,79.007,72.957,71.671,78.295,78.668,81.78,81.386,72.425,73.007,72.371
9,76.198,77.411,78.436,71.958,76.719,79.188,78.562,81.592,80.831,72.961,72.187,72.614
