,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,72.025,73.891,75.983,74.477,70.819,70.298,70.325,70.497,69.392,76.512,76.048,79.017
1,71.78,73.108,75.742,68.627,71.132,73.513,71.156,73.748,71.361,79.184,78.276,79.962
2,71.941,73.678,75.661,75.637,76.987,74.866,73.207,71.725,69.85,76.811,76.294,80.643
3,72.03,73.605,76.137,75.154,70.277,74.702,69.789,69.154,69.875,75.784,75.33,80.944
4,72.184,73.39,75.842,76.773,68.485,74.213,73.42,72.441,68.525,76.257,80.165,77.711
5,72.093,73.575,75.831,69.683,68.565,76.81,70.399,72.649,71.439,80.713,76.693,75.361
6,71.979,73.536,75.556,74.063,76.393,75.461,71.624,67.882,71.453,80.842,79.288,78.526
7,72.476,73.231,76.378,70.381,76.296,68.834,70.124,67.462,69.155,77.615,78.051,80.883
8,71.726,73.708,76.372,76.256,71.457,73.935,69.591,68.086,72.08,78.611,78.858,80.627
9,71.763,73.779,75.94,73.902,72.884,74.457,67.89,67.114,70.664,80.187,79.879,78.506
