,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.189,0.186,0.175,0.165,0.148,0.179,0.216,0.242,0.255,0.256,0.242,0.234
1,0.195,0.18,0.171,0.168,0.173,0.192,0.209,0.215,0.268,0.245,0.211,0.21
2,0.189,0.182,0.17,0.151,0.161,0.16,0.237,0.251,0.27,0.229,0.222,0.246
3,0.194,0.186,0.168,0.17,0.162,0.181,0.249,0.24,0.226,0.218,0.212,0.238
4,0.185,0.18,0.163,0.156,0.185,0.166,0.252,0.204,0.241,0.225,0.215,0.259
5,0.191,0.19,0.165,0.164,0.147,0.153,0.259,0.231,0.244,0.236,0.247,0.258
6,0.191,0.188,0.167,0.15,0.171,0.163,0.211,0.235,0.232,0.244,0.219,0.227
7,0.189,0.186,0.178,0.159,0.191,0.176,0.267,0.205,0.23,0.252,0.226,0.235
8,0.193,0.187,0.173,0.194,0.146,0.144,0.225,0.265,0.228,0.237,0.249,0.24
9,0.19,0.176,0.169,0.158,0.177,0.167,0.253,0.247,0.213,0.216,0.213,0.217
