,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.168,0.175,0.195,0.169,0.164,0.193,0.183,0.187,0.163,0.201,0.213,0.192
1,0.17,0.168,0.186,0.152,0.146,0.149,0.173,0.182,0.174,0.218,0.228,0.187
2,0.173,0.169,0.19,0.163,0.183,0.157,0.16,0.188,0.185,0.233,0.236,0.216
3,0.172,0.173,0.193,0.177,0.155,0.18,0.184,0.176,0.162,0.194,0.225,0.239
4,0.173,0.172,0.196,0.151,0.144,0.172,0.161,0.181,0.168,0.217,0.205,0.207
5,0.173,0.173,0.198,0.145,0.174,0.148,0.171,0.172,0.164,0.223,0.22,0.21
6,0.168,0.174,0.195,0.175,0.161,0.158,0.178,0.189,0.179,0.204,0.212,0.238
7,0.172,0.177,0.195,0.166,0.185,0.184,0.177,0.186,0.18,0.202,0.208,0.191
8,0.17,0.174,0.19,0.16,0.181,0.15,0.166,0.169,0.165,0.185,0.215,0.19
9,0.172,0.168,0.188,0.187,0.178,0.19,0.167,0.175,0.17,0.229,0.195,0.219
