,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.198,0.203,0.195,0.166,0.189,0.182,0.142,0.147,0.137,0.146,0.114,0.143
1,0.203,0.211,0.189,0.185,0.194,0.191,0.15,0.151,0.14,0.137,0.142,0.122
2,0.197,0.198,0.197,0.152,0.19,0.18,0.151,0.15,0.139,0.134,0.13,0.119
3,0.197,0.213,0.183,0.144,0.162,0.161,0.152,0.143,0.141,0.127,0.149,0.113
4,0.197,0.201,0.191,0.154,0.187,0.168,0.148,0.142,0.143,0.118,0.115,0.136
5,0.197,0.207,0.186,0.146,0.163,0.158,0.148,0.146,0.147,0.138,0.126,0.128
6,0.201,0.208,0.194,0.176,0.165,0.156,0.139,0.144,0.139,0.139,0.135,0.133
7,0.199,0.208,0.196,0.143,0.193,0.184,0.141,0.148,0.151,0.125,0.116,0.141
8,0.197,0.204,0.197,0.16,0.169,0.148,0.155,0.14,0.153,0.129,0.144,0.131
9,0.198,0.211,0.194,0.179,0.177,0.17,0.137,0.153,0.143,0.12,0.145,0.123
