,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.193,0.203,0.214,0.183,0.199,0.179,0.189,0.2,0.201,0.186,0.239,0.219
1,0.194,0.195,0.207,0.196,0.166,0.222,0.193,0.212,0.199,0.224,0.227,0.182
2,0.181,0.204,0.209,0.198,0.2,0.203,0.214,0.198,0.216,0.214,0.193,0.2
3,0.185,0.192,0.207,0.191,0.223,0.21,0.199,0.209,0.204,0.187,0.199,0.194
4,0.187,0.2,0.199,0.232,0.188,0.212,0.207,0.199,0.2,0.201,0.204,0.217
5,0.183,0.207,0.206,0.206,0.168,0.197,0.212,0.19,0.206,0.207,0.18,0.197
6,0.177,0.198,0.203,0.23,0.202,0.175,0.203,0.192,0.199,0.188,0.212,0.211
7,0.189,0.197,0.206,0.195,0.19,0.169,0.188,0.206,0.216,0.213,0.22,0.234
8,0.18,0.198,0.204,0.227,0.165,0.18,0.216,0.204,0.198,0.24,0.23,0.202
9,0.192,0.2,0.197,0.207,0.225,0.17,0.195,0.19,0.205,0.208,0.192,0.229
