,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.206,0.205,0.226,0.204,0.163,0.221,0.136,0.111,0.143,0.102,0.071,0.073
1,0.204,0.199,0.23,0.217,0.226,0.197,0.115,0.141,0.12,0.075,0.083,0.104
2,0.216,0.218,0.226,0.181,0.216,0.172,0.133,0.14,0.137,0.087,0.086,0.109
3,0.204,0.211,0.214,0.179,0.171,0.187,0.122,0.128,0.125,0.108,0.089,0.103
4,0.198,0.21,0.212,0.213,0.205,0.201,0.139,0.129,0.123,0.09,0.101,0.079
5,0.21,0.203,0.226,0.224,0.228,0.211,0.126,0.121,0.127,0.074,0.097,0.099
6,0.216,0.199,0.218,0.166,0.191,0.192,0.118,0.112,0.148,0.092,0.082,0.077
7,0.199,0.203,0.22,0.218,0.193,0.186,0.134,0.11,0.13,0.088,0.096,0.07
8,0.204,0.195,0.226,0.182,0.184,0.209,0.132,0.142,0.147,0.081,0.076,0.091
9,0.222,0.204,0.223,0.202,0.195,0.215,0.144,0.124,0.131,0.094,0.095,0.084
