,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.173,0.167,0.174,0.165,0.185,0.191,0.163,0.159,0.186,0.156,0.183,0.141
1,0.174,0.172,0.175,0.164,0.175,0.146,0.17,0.179,0.169,0.162,0.186,0.154
2,0.175,0.174,0.182,0.18,0.148,0.178,0.175,0.181,0.177,0.168,0.14,0.143
3,0.176,0.167,0.167,0.163,0.192,0.172,0.179,0.179,0.181,0.157,0.17,0.149
4,0.176,0.171,0.179,0.161,0.194,0.159,0.172,0.179,0.158,0.181,0.171,0.182
5,0.18,0.173,0.175,0.176,0.173,0.153,0.179,0.161,0.185,0.145,0.164,0.158
6,0.175,0.176,0.18,0.166,0.158,0.174,0.166,0.159,0.157,0.147,0.188,0.187
7,0.174,0.178,0.176,0.188,0.155,0.156,0.157,0.186,0.162,0.174,0.155,0.184
8,0.177,0.174,0.178,0.17,0.149,0.145,0.179,0.168,0.178,0.142,0.169,0.177
9,0.178,0.169,0.176,0.15,0.152,0.157,0.163,0.183,0.162,0.172,0.153,0.163
