,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.178,0.187,0.188,0.159,0.166,0.156,0.214,0.203,0.215,0.26,0.246,0.277
1,0.184,0.178,0.182,0.165,0.172,0.175,0.224,0.211,0.223,0.261,0.278,0.228
2,0.179,0.178,0.187,0.16,0.193,0.169,0.207,0.201,0.229,0.27,0.273,0.25
3,0.181,0.186,0.179,0.146,0.176,0.149,0.216,0.218,0.213,0.272,0.231,0.23
4,0.18,0.186,0.187,0.185,0.152,0.187,0.2,0.217,0.221,0.262,0.28,0.255
5,0.178,0.186,0.183,0.15,0.181,0.189,0.222,0.206,0.219,0.24,0.235,0.233
6,0.181,0.179,0.186,0.178,0.171,0.186,0.204,0.225,0.21,0.224,0.243,0.265
7,0.179,0.18,0.198,0.184,0.161,0.151,0.226,0.205,0.212,0.222,0.264,0.225
8,0.176,0.178,0.181,0.192,0.19,0.191,0.228,0.23,0.209,0.248,0.247,0.238
9,0.178,0.187,0.188,0.188,0.164,0.173,0.22,0.227,0.202,0.258,0.269,0.268
