,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.201,0.205,0.175,0.191,0.185,0.147,0.152,0.153,0.177,0.192,0.196,0.195
1,0.193,0.207,0.167,0.15,0.194,0.162,0.185,0.151,0.178,0.167,0.173,0.185
2,0.198,0.197,0.169,0.18,0.184,0.17,0.183,0.159,0.176,0.164,0.176,0.175
3,0.202,0.2,0.165,0.178,0.19,0.148,0.144,0.147,0.189,0.172,0.2,0.174
4,0.195,0.196,0.166,0.192,0.152,0.181,0.184,0.169,0.17,0.177,0.16,0.17
5,0.204,0.206,0.165,0.156,0.165,0.151,0.163,0.168,0.172,0.165,0.191,0.162
6,0.194,0.205,0.178,0.186,0.145,0.164,0.18,0.142,0.149,0.178,0.182,0.189
7,0.197,0.2,0.164,0.189,0.169,0.153,0.187,0.186,0.141,0.183,0.186,0.161
8,0.201,0.203,0.169,0.175,0.167,0.183,0.179,0.145,0.162,0.184,0.194,0.187
9,0.196,0.202,0.168,0.143,0.193,0.146,0.14,0.181,0.167,0.168,0.169,0.193
