,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.212,0.198,0.219,0.189,0.166,0.216,0.163,0.153,0.16,0.127,0.127,0.126
1,0.217,0.196,0.211,0.19,0.213,0.229,0.157,0.157,0.17,0.133,0.135,0.129
2,0.221,0.195,0.214,0.169,0.175,0.223,0.166,0.158,0.156,0.136,0.137,0.136
3,0.215,0.198,0.22,0.185,0.186,0.2,0.155,0.168,0.15,0.139,0.126,0.131
4,0.225,0.191,0.221,0.172,0.211,0.163,0.153,0.151,0.163,0.136,0.137,0.135
5,0.226,0.189,0.222,0.217,0.218,0.203,0.158,0.152,0.158,0.126,0.135,0.127
6,0.219,0.189,0.213,0.215,0.209,0.234,0.159,0.168,0.17,0.136,0.124,0.12
7,0.211,0.191,0.207,0.188,0.199,0.196,0.17,0.168,0.156,0.128,0.129,0.131
8,0.224,0.194,0.211,0.182,0.222,0.181,0.17,0.154,0.152,0.135,0.13,0.13
9,0.213,0.194,0.221,0.194,0.204,0.23,0.151,0.16,0.161,0.126,0.134,0.125
