,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.171,0.181,0.188,0.168,0.144,0.154,0.123,0.136,0.131,0.132,0.152,0.136
1,0.167,0.184,0.191,0.162,0.152,0.148,0.148,0.14,0.13,0.158,0.133,0.153
2,0.172,0.182,0.188,0.169,0.145,0.186,0.139,0.125,0.122,0.131,0.156,0.138
3,0.171,0.18,0.192,0.151,0.147,0.182,0.124,0.126,0.128,0.154,0.161,0.168
4,0.171,0.18,0.184,0.192,0.161,0.184,0.134,0.121,0.144,0.142,0.146,0.157
5,0.168,0.181,0.19,0.18,0.171,0.183,0.143,0.12,0.15,0.144,0.148,0.149
6,0.172,0.184,0.186,0.187,0.153,0.179,0.141,0.145,0.127,0.14,0.166,0.164
7,0.172,0.177,0.189,0.166,0.163,0.178,0.149,0.135,0.146,0.17,0.15,0.141
8,0.171,0.177,0.193,0.158,0.181,0.189,0.129,0.138,0.132,0.135,0.147,0.143
9,0.169,0.177,0.19,0.16,0.146,0.172,0.147,0.133,0.142,0.137,0.159,0.13
