,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.222,0.217,0.225,0.162,0.232,0.24,0.203,0.199,0.193,0.121,0.118,0.13
1,0.211,0.223,0.222,0.262,0.261,0.273,0.188,0.191,0.204,0.137,0.131,0.133
2,0.22,0.223,0.239,0.168,0.214,0.271,0.182,0.18,0.184,0.112,0.127,0.134
3,0.205,0.21,0.218,0.243,0.238,0.183,0.181,0.183,0.194,0.116,0.129,0.125
4,0.217,0.225,0.224,0.208,0.242,0.25,0.197,0.21,0.2,0.12,0.119,0.136
5,0.218,0.218,0.236,0.201,0.215,0.163,0.187,0.192,0.201,0.117,0.128,0.113
6,0.205,0.219,0.228,0.17,0.276,0.249,0.205,0.207,0.202,0.122,0.11,0.132
7,0.223,0.216,0.219,0.269,0.21,0.196,0.195,0.208,0.198,0.123,0.124,0.114
8,0.217,0.217,0.224,0.259,0.247,0.193,0.196,0.206,0.209,0.139,0.14,0.111
9,0.217,0.217,0.23,0.192,0.176,0.23,0.19,0.185,0.186,0.126,0.138,0.135
