,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.226,0.234,0.197,0.204,0.225,0.174,0.262,0.263,0.256,0.204,0.215,0.192
1,0.213,0.229,0.197,0.239,0.207,0.164,0.273,0.27,0.271,0.21,0.22,0.213
2,0.21,0.226,0.205,0.234,0.228,0.19,0.261,0.272,0.251,0.211,0.212,0.194
3,0.216,0.227,0.207,0.175,0.21,0.23,0.279,0.283,0.26,0.191,0.208,0.193
4,0.215,0.233,0.208,0.191,0.199,0.171,0.267,0.288,0.254,0.198,0.197,0.218
5,0.221,0.235,0.208,0.213,0.166,0.178,0.258,0.277,0.252,0.201,0.2,0.196
6,0.214,0.22,0.206,0.235,0.25,0.18,0.255,0.287,0.253,0.195,0.217,0.202
7,0.223,0.232,0.204,0.226,0.256,0.189,0.284,0.259,0.281,0.206,0.209,0.205
8,0.214,0.228,0.206,0.232,0.26,0.197,0.257,0.265,0.289,0.19,0.203,0.219
9,0.212,0.228,0.21,0.221,0.257,0.212,0.266,0.276,0.264,0.199,0.207,0.214
