,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.244,0.196,0.222,0.223,0.192,0.208,0.163,0.181,0.183,0.176,0.157,0.155
1,0.233,0.211,0.225,0.249,0.248,0.189,0.203,0.206,0.205,0.177,0.141,0.168
2,0.241,0.193,0.226,0.23,0.226,0.219,0.188,0.176,0.168,0.142,0.165,0.143
3,0.234,0.201,0.225,0.227,0.238,0.198,0.207,0.174,0.175,0.167,0.151,0.169
4,0.247,0.205,0.226,0.207,0.185,0.251,0.192,0.208,0.17,0.159,0.172,0.16
5,0.238,0.21,0.225,0.203,0.209,0.237,0.184,0.18,0.202,0.166,0.156,0.17
6,0.242,0.206,0.235,0.182,0.259,0.188,0.2,0.195,0.171,0.153,0.173,0.148
7,0.244,0.213,0.233,0.246,0.22,0.224,0.19,0.164,0.191,0.154,0.179,0.149
8,0.24,0.199,0.238,0.242,0.195,0.217,0.165,0.185,0.182,0.162,0.15,0.163
9,0.25,0.208,0.233,0.261,0.235,0.199,0.198,0.193,0.169,0.161,0.147,0.146
