,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.21,0.219,0.224,0.224,0.192,0.236,0.161,0.188,0.19,0.197,0.2,0.238
1,0.212,0.218,0.223,0.235,0.264,0.237,0.163,0.189,0.18,0.213,0.219,0.222
2,0.209,0.217,0.231,0.262,0.197,0.22,0.173,0.176,0.187,0.227,0.232,0.194
3,0.211,0.224,0.226,0.205,0.239,0.255,0.167,0.179,0.164,0.199,0.209,0.206
4,0.206,0.219,0.228,0.238,0.185,0.221,0.183,0.184,0.165,0.22,0.233,0.211
5,0.209,0.219,0.23,0.201,0.254,0.222,0.178,0.169,0.171,0.201,0.198,0.205
6,0.219,0.218,0.228,0.246,0.248,0.183,0.162,0.185,0.182,0.191,0.237,0.195
7,0.211,0.224,0.228,0.242,0.249,0.231,0.175,0.16,0.174,0.236,0.216,0.225
8,0.212,0.223,0.233,0.223,0.26,0.21,0.17,0.177,0.186,0.23,0.234,0.21
9,0.212,0.217,0.233,0.187,0.188,0.213,0.166,0.172,0.181,0.239,0.212,0.208
