,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.221,0.231,0.22,0.231,0.256,0.195,0.226,0.221,0.223,0.161,0.18,0.15
1,0.212,0.227,0.224,0.198,0.214,0.212,0.231,0.224,0.22,0.154,0.162,0.145
2,0.215,0.228,0.219,0.206,0.242,0.247,0.226,0.226,0.226,0.186,0.17,0.143
3,0.209,0.223,0.217,0.185,0.229,0.219,0.232,0.234,0.23,0.147,0.188,0.183
4,0.212,0.232,0.221,0.224,0.254,0.207,0.235,0.225,0.231,0.141,0.187,0.146
5,0.21,0.223,0.212,0.187,0.26,0.253,0.222,0.234,0.23,0.171,0.184,0.144
6,0.215,0.233,0.238,0.203,0.221,0.239,0.222,0.227,0.232,0.164,0.189,0.177
7,0.213,0.228,0.234,0.201,0.261,0.188,0.221,0.226,0.227,0.156,0.14,0.165
8,0.215,0.236,0.231,0.196,0.267,0.193,0.225,0.231,0.232,0.157,0.175,0.153
9,0.22,0.223,0.224,0.24,0.216,0.223,0.227,0.232,0.23,0.142,0.16,0.152
