,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.21,0.208,0.218,0.166,0.206,0.176,0.207,0.17,0.208,0.252,0.21,0.278
1,0.209,0.207,0.218,0.162,0.192,0.177,0.174,0.198,0.22,0.22,0.237,0.216
2,0.202,0.213,0.22,0.226,0.202,0.186,0.205,0.23,0.231,0.271,0.249,0.225
3,0.212,0.218,0.222,0.203,0.189,0.164,0.223,0.186,0.199,0.266,0.248,0.234
4,0.212,0.209,0.209,0.199,0.174,0.191,0.177,0.202,0.239,0.228,0.275,0.219
5,0.213,0.212,0.218,0.22,0.188,0.207,0.216,0.212,0.229,0.264,0.268,0.217
6,0.209,0.21,0.214,0.198,0.19,0.195,0.193,0.192,0.226,0.261,0.273,0.229
7,0.207,0.204,0.216,0.233,0.208,0.183,0.228,0.18,0.21,0.245,0.226,0.277
8,0.211,0.202,0.204,0.224,0.196,0.21,0.175,0.189,0.218,0.259,0.258,0.211
9,0.21,0.214,0.22,0.221,0.194,0.172,0.196,0.191,0.173,0.236,0.221,0.24
