,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.216,0.224,0.23,0.255,0.268,0.235,0.258,0.253,0.258,0.206,0.191,0.194
1,0.219,0.234,0.236,0.24,0.271,0.245,0.24,0.254,0.251,0.215,0.222,0.184
2,0.218,0.238,0.236,0.228,0.219,0.23,0.254,0.257,0.25,0.181,0.211,0.205
3,0.218,0.227,0.224,0.269,0.237,0.234,0.251,0.25,0.261,0.197,0.227,0.186
4,0.209,0.226,0.232,0.272,0.267,0.257,0.253,0.25,0.256,0.185,0.201,0.229
5,0.212,0.238,0.225,0.253,0.243,0.218,0.253,0.248,0.259,0.208,0.189,0.198
6,0.219,0.23,0.22,0.212,0.265,0.231,0.253,0.252,0.263,0.226,0.207,0.199
7,0.215,0.227,0.223,0.225,0.232,0.264,0.265,0.257,0.252,0.193,0.187,0.202
8,0.21,0.232,0.216,0.215,0.224,0.273,0.243,0.26,0.24,0.18,0.192,0.21
9,0.207,0.219,0.225,0.213,0.248,0.262,0.257,0.243,0.253,0.224,0.196,0.209
