,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.23,0.222,0.256,0.227,0.229,0.247,0.227,0.263,0.238,0.195,0.186,0.211
1,0.238,0.211,0.264,0.212,0.263,0.214,0.262,0.257,0.243,0.206,0.17,0.197
2,0.235,0.217,0.263,0.249,0.244,0.262,0.244,0.249,0.251,0.174,0.19,0.179
3,0.238,0.227,0.267,0.259,0.243,0.233,0.239,0.241,0.268,0.184,0.198,0.182
4,0.24,0.219,0.257,0.215,0.231,0.255,0.224,0.237,0.265,0.178,0.171,0.191
5,0.243,0.219,0.27,0.22,0.218,0.27,0.231,0.23,0.233,0.189,0.216,0.218
6,0.243,0.219,0.268,0.251,0.236,0.269,0.259,0.234,0.225,0.201,0.185,0.18
7,0.236,0.223,0.268,0.267,0.246,0.224,0.272,0.275,0.22,0.205,0.175,0.208
8,0.233,0.226,0.271,0.216,0.228,0.268,0.278,0.253,0.261,0.196,0.21,0.217
9,0.227,0.225,0.272,0.254,0.213,0.245,0.266,0.229,0.247,0.181,0.193,0.177
