,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.22,0.253,0.247,0.215,0.265,0.231,0.27,0.289,0.273,0.25,0.241,0.244
1,0.221,0.248,0.245,0.232,0.225,0.237,0.277,0.271,0.282,0.242,0.223,0.231
2,0.219,0.243,0.242,0.24,0.264,0.273,0.275,0.29,0.272,0.22,0.253,0.243
3,0.216,0.251,0.231,0.26,0.229,0.226,0.278,0.274,0.272,0.251,0.249,0.232
4,0.234,0.257,0.245,0.218,0.222,0.255,0.293,0.284,0.29,0.228,0.214,0.211
5,0.232,0.254,0.239,0.27,0.236,0.243,0.286,0.276,0.293,0.224,0.233,0.245
6,0.227,0.25,0.239,0.216,0.253,0.212,0.283,0.295,0.287,0.257,0.255,0.236
7,0.221,0.248,0.237,0.248,0.252,0.235,0.291,0.277,0.285,0.237,0.221,0.256
8,0.223,0.247,0.238,0.219,0.258,0.241,0.281,0.283,0.277,0.254,0.213,0.238
9,0.229,0.25,0.238,0.247,0.244,0.259,0.276,0.279,0.274,0.234,0.21,0.218
