,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.239,0.223,0.217,0.19,0.254,0.257,0.158,0.151,0.134,0.179,0.17,0.198
1,0.219,0.211,0.221,0.195,0.255,0.209,0.137,0.15,0.135,0.173,0.169,0.199
2,0.231,0.223,0.22,0.186,0.203,0.261,0.144,0.159,0.149,0.192,0.182,0.166
3,0.219,0.212,0.225,0.218,0.249,0.193,0.147,0.156,0.141,0.187,0.171,0.2
4,0.23,0.23,0.213,0.224,0.267,0.239,0.148,0.132,0.155,0.177,0.195,0.188
5,0.237,0.218,0.217,0.264,0.206,0.24,0.142,0.131,0.152,0.185,0.176,0.181
6,0.217,0.219,0.223,0.253,0.199,0.262,0.138,0.146,0.154,0.18,0.164,0.167
7,0.24,0.221,0.219,0.212,0.191,0.21,0.136,0.133,0.145,0.165,0.189,0.16
8,0.233,0.222,0.222,0.207,0.187,0.238,0.14,0.157,0.13,0.175,0.163,0.193
9,0.231,0.22,0.213,0.266,0.252,0.194,0.153,0.16,0.139,0.197,0.174,0.194
