,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.189,0.203,0.209,0.195,0.209,0.207,0.153,0.16,0.13,0.247,0.235,0.237
1,0.193,0.214,0.215,0.205,0.193,0.226,0.143,0.134,0.166,0.229,0.241,0.223
2,0.203,0.199,0.206,0.199,0.263,0.25,0.147,0.127,0.131,0.244,0.24,0.259
3,0.186,0.201,0.21,0.221,0.189,0.192,0.117,0.12,0.172,0.245,0.226,0.249
4,0.189,0.206,0.216,0.197,0.224,0.244,0.174,0.163,0.141,0.238,0.236,0.233
5,0.186,0.21,0.209,0.219,0.255,0.243,0.139,0.138,0.146,0.246,0.23,0.22
6,0.19,0.205,0.214,0.202,0.247,0.249,0.128,0.142,0.167,0.221,0.231,0.26
7,0.191,0.201,0.208,0.184,0.218,0.188,0.164,0.152,0.15,0.257,0.224,0.256
8,0.184,0.197,0.213,0.252,0.233,0.242,0.123,0.148,0.168,0.222,0.25,0.255
9,0.191,0.195,0.213,0.251,0.182,0.257,0.118,0.157,0.17,0.248,0.243,0.239
