,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,57.631,57.106,56.6,55.85,55.156,59.926,55.478,60.487,59.026,60.947,60.04,57.439,55.072,58.658,56.081,61.647,57.684,61.122,57.2,58.765,56.842,60.881,60.107,59.578,60.976,60.541,60.678,56.318,61.593,60.077
1,61.745,61.498,65.897,63.563,65.58,66.032,65.712,63.667,64.578,66.473,66.03,66.079,66.623,66.646,62.355,63.152,65.879,64.045,62.679,66.949,61.77,63.467,63.142,62.322,65.657,61.158,66.919,62.512,66.397,66.287
2,73.067,72.781,73.836,66.093,70.543,68.541,71.516,69.792,72.36,73.972,67.825,71.178,73.531,69.106,67.065,68.331,72.476,68.231,69.408,72.861,67.575,70.157,67.51,67.865,72.549,71.183,66.379,70.439,68.575,73.601
3,52.886,52.354,54.346,55.844,52.497,55.743,53.553,53.722,52.867,55.381,53.882,54.688,55.936,52.806,55.18,53.186,54.78,54.52,53.883,53.078,53.577,55.518,53.334,54.908,53.678,52.012,54.74,52.024,54.429,53.787
4,59.276,58.293,56.098,56.887,58.708,57.053,55.185,55.062,58.81,56.619,55.405,59.648,59.769,58.712,58.095,58.114,55.157,56.712,56.886,55.694,58.281,59.321,55.083,55.309,56.426,57.56,58.475,57.34,57.601,55.5
5,59.229,62.914,64.333,63.133,59.522,64.82,60.2,64.344,60.594,63.643,63.007,60.651,62.325,62.185,59.362,60.183,61.822,63.425,64.186,64.477,63.373,62.996,64.351,62.313,59.062,63.494,63.32,63.642,63.651,60.257
6,64.311,66.511,65.508,66.968,67.979,63.586,65.829,64.905,66.551,66.644,66.31,65.931,67.375,65.833,63.862,65.101,63.312,63.833,63.311,68.37,67.445,68.711,66.197,66.737,68.023,65.199,66.086,68.639,67.175,64.037
7,74.603,72.219,71.722,74.271,67.538,73.871,67.63,72.29,71.171,73.996,67.144,73.897,70.716,69.121,72.622,73.85,70.736,74.414,70.455,73.243,73.692,67.169,73.169,70.149,72.184,72.984,68.919,71.885,72.344,74.953
8,77.699,78.406,74.113,78.845,79.57,78.415,80.46,78.735,76.743,75.416,79.133,77.3,80.583,76.898,74.083,75.671,78.186,74.596,80.123,79.728,78.15,76.67,78.783,78.821,80.471,77.695,73.025,79.054,76.215,75.999
9,49.809,50.814,50.862,49.16,49.608,50.345,48.91,50.809,50.024,51.233,49.137,48.257,49.018,49.003,51.282,48.238,49.728,51.538,48.246,50.468,49.795,51.543,50.5,48.679,49.998,51.09,49.599,50.63,51.726,48.879
10,53.114,53.184,55.338,55.485,55.239,54.462,53.462,55.666,53.808,54.583,54.051,53.85,54.216,53.701,55.794,55.262,54.241,53.706,53.41,53.316,55.478,53.252,53.438,54.894,55.218,55.536,54.218,53.68,53.466,54.463
11,57.965,60.025,57.664,57.03,57.105,57.828,58.123,60.467,57.557,58.825,60.475,60.925,58.982,58.229,60.495,57.441,57.208,59.881,57.643,60.197,59.522,57.603,57.485,60.522,59.421,57.457,57.947,60.723,60.535,57.056
