,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,55.37,55.09,59.5,55.47,55.24,53.19,57.77,50.08,52.81,50.75,53.15,54.27,59.14,55.66,48.59,57.26,55.18,53.24,58.65,55.22,56.51,60.93,56.0,58.83,57.33,59.71,55.28,55.33,58.55,55.99
1,53.15,54.27,49.14,55.66,48.59,57.26,55.18,53.24,58.65,55.22,56.31,55.55,54.88,55.91,56.57,54.25,55.98,54.71,56.0,54.51,55.15,55.74,57.26,53.86,54.96,54.86,56.62,55.06,54.9,55.67
2,56.51,60.93,56.0,58.83,57.33,59.71,55.28,55.33,58.55,55.99,57.96,57.16,59.17,57.54,58.48,58.62,58.72,58.01,57.92,55.49,59.22,59.2,57.69,55.44,55.93,55.42,57.71,56.71,57.63,57.94
3,57.402,56.497,57.686,58.386,49.34,51.158,51.424,66.481,56.631,54.454,50.471,66.78,57.875,52.07,51.728,51.722,47.06,50.89,51.465,49.743,50.35,54.334,48.451,48.019,49.811,51.267,48.74,53.512,52.87,47.806
4,58.409,58.481,56.002,57.337,58.689,56.823,58.735,58.9,59.044,58.621,57.702,56.765,56.491,57.807,59.831,59.456,58.999,57.9,57.568,57.628,57.474,55.864,56.687,57.05,56.828,59.863,57.359,59.399,56.92,55.912
5,63.549,61.836,67.002,67.041,66.65,64.097,60.597,65.965,64.606,59.773,63.678,63.249,63.148,64.072,64.314,62.757,59.302,66.689,61.009,66.781,66.28,59.6,64.03,65.425,64.149,63.325,59.244,62.0,66.385,64.596
6,69.319,63.423,70.848,69.842,66.438,68.139,65.91,63.155,70.442,69.912,70.418,70.896,68.934,65.798,65.481,66.351,66.357,67.138,68.441,70.256,68.496,64.464,66.416,64.854,69.225,65.681,66.077,67.966,68.513,66.764
7,69.565,68.772,69.262,65.532,65.501,70.885,64.633,68.227,70.58,63.832,66.957,66.873,65.909,67.066,68.984,69.117,67.091,69.305,65.983,64.346,65.218,65.298,64.025,64.842,67.513,66.021,64.651,69.916,65.96,67.072
8,70.709,69.279,67.823,73.409,73.689,72.213,72.438,74.057,66.033,72.134,73.564,74.863,71.463,70.514,69.837,70.192,74.718,69.705,68.916,70.423,68.967,71.134,73.408,71.73,71.103,67.553,66.836,69.975,68.793,72.3
9,73.064,75.317,69.312,75.471,77.266,70.806,75.297,76.14,74.88,73.546,69.381,74.144,74.076,70.641,71.044,71.299,74.956,76.529,71.234,74.415,69.604,70.683,74.925,77.059,71.39,75.187,72.626,73.736,77.637,73.717
10,64.044,64.091,69.269,64.966,71.211,64.52,74.042,68.833,67.077,69.529,75.423,69.901,73.579,75.105,67.687,64.908,71.114,64.519,71.626,65.362,68.051,66.399,64.112,68.033,69.152,71.835,74.609,65.327,66.529,68.824
11,70.344,66.012,64.187,64.905,74.722,70.178,71.168,68.59,69.992,70.622,75.832,75.346,65.753,73.488,70.868,67.791,66.024,66.705,69.323,64.397,71.043,75.277,72.746,73.075,68.304,65.948,68.182,64.894,65.587,68.093
