,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,10.954,12.703,13.117,13.471,13.436,15.576,14.438,11.611,9.881,13.218,15.229,13.874,11.96,10.336,13.129,12.037,14.396,13.616,11.031,9.132,15.191,9.615,10.914,9.285,9.203,9.154,12.36,12.166,10.173,10.198
1,11.536,9.801,10.192,11.99,9.157,9.676,10.523,11.689,12.646,9.853,11.754,12.42,15.437,9.413,11.953,9.375,15.453,15.198,13.631,15.689,15.658,11.897,10.668,14.234,12.796,10.332,10.776,12.817,13.251,13.266
2,14.894,13.691,14.421,15.363,13.643,9.493,10.987,15.762,14.719,13.517,12.681,15.483,14.023,10.18,14.178,12.952,10.924,9.49,9.875,10.023,9.167,9.275,15.484,13.427,12.585,15.026,12.716,15.939,14.132,11.048
3,15.295,18.96,13.282,18.041,17.006,18.664,13.208,16.974,16.323,13.672,14.305,13.462,16.667,14.447,14.653,16.086,18.904,14.629,15.328,14.359,17.058,14.119,18.903,17.17,14.076,17.035,15.094,12.151,12.035,12.771
4,16.636,12.596,16.16,14.154,15.48,13.4,13.974,17.081,15.114,18.516,18.549,14.462,17.072,18.847,18.654,13.689,14.658,16.757,18.806,12.241,12.769,12.792,14.993,15.531,12.674,13.165,12.036,15.083,15.944,18.927
5,13.365,17.879,13.125,15.161,14.96,17.496,16.519,13.525,14.818,16.949,16.384,12.144,17.789,17.556,17.111,17.924,13.274,18.176,12.733,17.057,16.113,18.951,16.561,15.558,16.551,17.207,12.727,17.129,15.537,12.196
6,16.118,15.683,13.042,15.655,18.888,15.236,12.707,15.35,12.848,16.301,17.075,14.513,16.235,12.562,14.993,14.239,18.523,13.757,13.667,13.062,14.556,17.385,18.861,15.396,17.169,13.387,13.299,16.537,17.572,16.716
7,18.043,13.452,14.116,14.737,13.964,12.47,16.017,18.492,14.492,13.002,14.867,15.293,13.751,14.564,15.377,14.962,16.738,14.464,15.428,12.476,17.215,15.876,14.23,13.761,16.763,13.918,16.533,15.268,16.681,16.536
8,14.955,17.063,13.492,12.586,17.988,16.482,18.021,14.845,13.767,18.302,18.436,18.249,16.456,13.416,15.336,17.83,16.487,14.117,15.201,15.371,16.724,13.582,14.983,15.17,17.513,15.181,17.422,16.556,12.728,18.005
9,12.267,16.658,18.142,16.566,13.596,17.539,18.646,13.098,17.55,18.265,13.031,17.454,18.048,13.329,15.085,16.941,12.664,17.841,14.566,16.285,15.608,18.581,13.868,13.571,16.553,14.147,18.192,12.348,16.939,12.039
10,17.619,13.416,15.251,17.536,16.776,13.888,15.608,16.572,14.966,13.875,12.402,16.457,13.783,18.348,17.115,18.009,16.607,17.594,18.815,18.172,16.3,14.419,14.964,17.66,16.791,17.727,16.526,16.617,14.328,16.983
11,15.975,15.4,14.379,16.638,13.626,14.152,17.164,15.498,12.004,15.539,14.742,17.387,12.974,15.174,17.738,12.981,12.518,13.768,13.34,13.878,12.233,15.322,17.569,14.627,15.221,12.539,16.735,15.069,17.959,13.766
