,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,12.427,13.632,12.96,12.127,13.814,13.343,13.124,13.537,12.932,12.025,12.403,12.621,13.323,13.48,13.011,12.373,12.638,12.724,13.031,13.243,13.903,13.531,12.76,12.422,13.27,12.109,12.19,13.252,13.84,13.621
1,18.814,17.891,17.722,17.27,18.422,17.823,17.948,16.744,17.721,16.552,17.68,18.338,17.588,17.728,17.817,16.726,16.397,16.166,18.586,17.458,17.112,16.422,16.508,16.452,18.245,18.277,18.53,18.241,18.453,16.345
2,25.714,24.465,23.866,25.519,23.377,23.513,24.992,23.534,24.34,24.942,24.856,22.498,25.572,24.091,24.246,23.337,24.351,24.162,23.417,24.324,24.945,24.15,24.557,24.897,24.445,23.735,25.167,24.615,23.796,25.805
3,14.001,15.929,14.702,15.835,13.046,15.336,13.709,16.513,13.323,16.574,15.808,13.377,13.039,13.821,15.35,15.687,15.436,16.894,14.92,15.88,15.565,13.685,15.731,13.56,13.054,13.058,14.966,14.597,15.786,15.351
4,21.782,19.382,21.665,20.743,21.087,17.06,16.47,21.922,16.065,16.276,20.748,17.579,20.794,16.08,21.111,17.225,21.135,19.169,19.879,17.049,21.102,16.01,17.604,19.778,16.034,17.992,18.203,17.683,16.79,21.82
5,21.653,21.669,22.351,24.565,22.957,24.472,25.497,23.057,25.508,25.677,22.923,24.109,25.194,25.997,23.223,24.777,21.322,23.591,21.842,24.218,23.37,22.911,25.186,21.733,21.441,23.423,25.779,23.97,22.097,24.424
6,19.435,18.468,19.091,20.326,18.75,17.958,17.367,18.107,18.711,19.295,19.504,20.841,19.459,17.894,18.656,18.217,18.052,19.006,18.574,17.813,18.818,20.735,18.188,20.958,20.291,18.272,18.313,17.198,20.065,19.289
7,24.247,26.575,27.615,23.457,27.554,23.397,27.685,23.364,24.834,25.487,23.636,25.695,27.748,25.853,26.633,25.673,27.048,27.478,22.34,23.548,25.815,25.417,23.128,24.412,26.274,23.225,26.403,26.241,23.635,24.67
8,30.531,28.655,29.48,28.901,30.782,30.498,30.198,28.551,28.283,28.711,27.506,28.247,29.332,29.669,28.111,28.031,29.5,27.184,28.253,28.297,27.28,30.247,27.803,29.645,28.596,30.962,30.399,28.363,27.944,28.323
9,18.696,21.703,20.782,20.122,22.251,17.346,18.134,18.067,21.416,18.632,18.735,18.774,19.198,22.856,17.042,19.985,19.495,19.864,19.158,17.171,20.707,17.765,20.402,17.884,21.966,20.332,22.589,18.126,21.62,21.262
10,24.667,23.974,22.284,22.349,22.911,22.061,24.191,24.594,23.265,23.004,23.516,22.493,22.607,23.447,22.816,22.839,24.001,22.662,23.765,23.721,23.805,24.424,22.307,24.452,24.078,23.71,24.138,22.445,24.875,23.993
11,28.554,26.871,25.011,25.585,25.703,27.83,27.346,25.731,27.521,28.931,25.687,24.849,27.477,25.359,25.42,24.798,26.16,26.701,25.918,26.275,27.262,27.593,28.884,24.902,26.999,24.404,27.731,24.327,25.99,28.063
