,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,73.192,74.243,74.862,73.159,74.87,74.689,74.509,73.401,73.556,74.012,73.813,74.633,74.673,73.604,74.908,74.185,73.802,73.994,74.533,74.973,73.381,74.719,73.298,73.738,73.366,74.864,73.841,74.892,73.596,73.621
1,81.909,82.52,82.482,82.458,80.247,80.95,81.428,82.903,80.228,82.221,82.101,80.129,80.921,82.573,82.029,81.755,81.233,82.507,82.489,81.046,82.268,82.314,82.203,82.028,81.513,81.73,80.425,80.11,81.495,81.843
2,72.797,70.959,70.402,69.062,69.892,69.043,72.554,72.468,71.349,70.063,72.219,72.371,72.701,69.631,72.009,72.456,70.838,71.16,71.196,71.902,71.901,71.139,69.292,71.134,69.962,71.106,70.115,72.389,70.633,70.819
3,75.837,75.662,76.381,76.58,76.675,74.511,76.665,74.247,74.795,76.566,74.257,75.761,75.813,74.296,75.418,75.846,75.914,74.323,75.327,75.891,74.172,76.03,74.291,74.613,74.124,76.643,74.525,75.051,76.629,74.338
4,77.825,77.7,78.596,78.157,78.318,77.044,79.378,77.777,77.357,78.838,77.524,77.337,79.541,77.582,78.213,77.621,78.235,77.217,77.546,77.539,77.463,78.208,77.069,77.827,78.921,78.753,78.992,77.869,78.283,78.848
5,54.56,53.25,54.44,45.91,51.07,50.81,51.44,52.41,54.68,47.14,53.37,47.08,50.53,52.98,49.93,51.68,48.15,51.43,47.48,54.86,53.44,46.2,45.06,50.56,52.67,52.74,48.99,53.17,49.43,49.66
6,56.75,55.0,59.33,57.04,57.18,55.11,56.38,57.78,55.5,59.01,57.34,57.7,58.23,57.43,57.8,55.95,56.76,59.62,55.82,59.17,57.11,58.04,57.62,55.36,55.75,58.0,59.95,58.43,55.32,56.05
7,61.33,60.82,61.26,60.61,62.58,60.32,62.97,60.51,62.8,60.12,62.95,61.67,60.0,62.77,61.07,62.89,62.19,60.97,62.21,61.5,61.41,62.94,61.68,60.89,60.95,62.01,63.0,60.2,61.51,60.04
8,64.311,66.511,65.508,66.968,67.979,63.586,65.829,64.905,66.551,66.644,66.31,65.931,67.375,65.833,63.862,65.101,63.312,63.833,63.311,68.37,67.445,68.711,66.197,66.737,68.023,65.199,66.086,68.639,67.175,64.037
9,74.603,72.219,71.722,74.271,67.538,73.871,67.63,72.29,71.171,73.996,67.144,73.897,70.716,69.121,72.622,73.85,70.736,74.414,70.455,73.243,73.692,67.169,73.169,70.149,72.184,72.984,68.919,71.885,72.344,74.953
10,77.699,78.406,74.113,78.845,79.57,78.415,80.46,78.735,76.743,75.416,79.133,77.3,80.583,76.898,74.083,75.671,78.186,74.596,80.123,79.728,78.15,76.67,78.783,78.821,80.471,77.695,73.025,79.054,76.215,75.999
11,60.685,59.094,58.78,61.096,57.845,59.448,58.582,60.868,59.524,57.566,57.865,58.327,58.753,58.141,57.886,58.917,57.001,59.279,58.428,60.718,58.494,61.196,60.983,61.291,58.498,61.081,60.596,61.977,58.914,61.892
