,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,71.629,75.765,79.13,71.956,72.522,74.699,81.909,82.101,82.268,66.868,68.353,68.317
1,71.164,76.166,79.179,67.529,69.671,75.788,82.52,80.129,82.314,68.478,67.654,66.233
2,71.405,76.031,79.166,69.284,69.807,73.931,82.482,80.921,82.203,65.082,67.65,66.994
3,71.578,76.286,79.056,69.287,69.64,76.427,82.458,82.573,82.028,67.173,66.666,66.253
4,71.254,76.142,78.971,69.417,71.069,77.296,80.247,82.029,81.513,66.675,67.802,68.005
5,71.294,76.25,79.119,70.453,72.342,75.499,80.95,81.755,81.73,68.537,67.616,66.339
6,71.54,75.759,78.714,66.218,69.757,76.163,81.428,81.233,80.425,65.402,68.758,67.583
7,71.626,75.848,78.787,69.619,69.681,74.358,82.903,82.507,80.11,68.447,65.706,67.135
8,71.415,76.404,79.962,67.123,70.692,75.97,80.228,82.489,81.495,65.137,66.168,68.252
9,71.358,76.171,78.958,71.413,72.09,74.976,82.221,81.046,81.843,65.376,67.6,68.105
