,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,66.775,68.175,72.085,64.82,65.38,65.52,61.33,62.95,61.41,74.695,73.101,74.011
1,67.031,68.073,72.476,64.88,66.73,64.94,60.82,61.67,62.94,73.484,73.349,72.461
2,66.7,68.002,72.297,64.07,66.07,64.65,61.26,60.0,61.68,73.318,74.779,72.623
3,67.106,68.118,71.561,66.02,65.45,64.64,60.61,62.77,60.89,73.617,73.076,74.329
4,66.658,68.029,72.346,66.81,65.33,64.22,62.58,61.07,60.95,73.997,72.321,73.488
5,66.677,68.171,72.498,65.68,66.61,64.95,60.32,62.89,62.01,74.038,73.075,72.148
6,66.953,67.683,72.093,64.53,65.79,66.54,62.97,62.19,63.0,72.908,73.298,72.649
7,66.91,67.994,72.255,66.64,66.32,65.83,60.51,60.97,60.2,73.153,72.339,72.966
8,66.845,67.844,71.695,65.86,65.39,66.98,62.8,62.21,61.51,73.673,72.6,73.183
9,66.882,68.14,72.337,64.51,66.76,66.24,60.12,61.5,60.04,74.062,73.094,73.162
