,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,67.445,74.145,80.779,65.44,72.713,79.801,77.825,77.524,77.463,76.619,75.391,75.323
1,67.927,74.269,80.593,62.067,71.659,74.562,77.7,77.337,78.208,75.559,76.494,78.149
2,67.84,73.989,80.782,63.974,74.014,79.263,78.596,79.541,77.069,77.018,79.284,75.643
3,67.599,75.182,80.531,64.381,67.914,78.409,78.157,77.582,77.827,80.309,77.465,80.232
4,67.351,74.66,80.383,66.222,67.489,77.469,78.318,78.213,78.921,80.784,80.977,80.399
5,67.339,74.496,80.311,61.422,72.982,74.016,77.044,77.621,78.753,75.557,75.7,76.781
6,67.115,74.415,80.551,64.384,71.378,77.578,79.378,78.235,78.992,78.978,77.199,79.29
7,67.084,74.241,80.334,62.261,68.992,79.484,77.777,77.217,77.869,77.121,78.936,78.336
8,67.368,73.966,80.189,66.368,68.139,77.037,77.357,77.546,78.283,80.808,75.089,80.083
9,67.603,74.562,80.697,61.74,66.127,77.596,78.838,77.539,78.848,76.513,79.359,76.017
