,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,85.918,87.148,90.467,85.21,84.585,83.55,74.603,67.144,73.692,65.239,64.078,64.363
1,86.089,86.948,90.186,85.372,83.811,83.473,72.219,73.897,67.169,64.875,64.5,65.73
2,86.106,86.777,90.306,83.66,83.752,84.715,71.722,70.716,73.169,64.182,65.493,65.583
3,86.318,87.013,90.037,82.232,82.42,85.538,74.271,69.121,70.149,65.128,65.488,65.11
4,85.827,86.804,89.87,82.602,86.445,83.548,67.538,72.622,72.184,65.29,65.772,65.18
5,86.165,86.857,89.83,85.705,83.846,82.338,73.871,73.85,72.984,65.019,64.786,65.932
6,86.353,86.85,90.303,85.036,83.881,85.939,67.63,70.736,68.919,65.614,65.567,65.372
7,86.271,87.17,89.716,83.292,82.619,84.197,72.29,74.414,71.885,64.56,65.084,65.584
8,85.681,86.804,89.825,84.77,86.189,85.534,71.171,70.455,72.344,64.296,65.923,64.624
9,85.561,87.152,89.808,85.113,86.243,83.99,73.996,73.243,74.953,65.482,64.165,65.713
