,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,81.859,83.15,86.496,79.78,80.127,82.836,64.311,66.31,67.445,69.011,69.458,69.748
1,81.877,82.752,86.764,82.083,79.475,81.481,66.511,65.931,68.711,69.143,70.675,69.126
2,82.052,83.105,86.115,79.537,79.529,79.811,65.508,67.375,66.197,70.158,69.329,69.895
3,81.811,83.071,86.372,81.834,82.188,80.598,66.968,65.833,66.737,69.1,69.326,70.054
4,82.091,82.852,86.676,81.315,80.158,82.455,67.979,63.862,68.023,69.055,69.309,70.046
5,81.777,83.104,86.293,82.529,80.547,80.269,63.586,65.101,65.199,69.638,70.314,70.17
6,82.384,83.086,86.674,82.707,79.02,81.278,65.829,63.312,66.086,69.303,70.284,69.715
7,81.823,82.767,86.557,79.675,78.97,81.241,64.905,63.833,68.639,69.877,70.385,69.534
8,81.773,83.098,86.718,82.048,78.935,81.766,66.551,63.311,67.175,70.574,70.88,69.067
9,81.923,83.018,86.707,78.126,81.829,81.601,66.644,68.37,64.037,70.906,69.3,69.814
