,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,88.484,89.374,91.032,89.101,87.734,89.162,77.699,79.133,78.15,54.56,53.37,53.44
1,88.559,88.683,90.732,89.298,88.601,89.284,78.406,77.3,76.67,53.25,47.08,46.2
2,88.552,89.404,91.333,91.157,89.206,87.178,74.113,80.583,78.783,54.44,50.53,45.06
3,88.612,88.85,91.023,89.4,90.67,86.032,78.845,76.898,78.821,45.91,52.98,50.56
4,88.236,89.413,91.262,87.743,90.924,87.567,79.57,74.083,80.471,51.07,49.93,52.67
5,88.302,88.606,90.712,88.194,88.291,87.285,78.415,75.671,77.695,50.81,51.68,52.74
6,88.519,88.654,90.833,89.651,89.613,90.74,80.46,78.186,73.025,51.44,48.15,48.99
7,88.536,88.751,91.2,88.044,90.505,89.26,78.735,74.596,79.054,52.41,51.43,53.17
8,88.35,88.849,90.852,86.957,86.948,90.382,76.743,80.123,76.215,54.68,47.48,49.43
9,88.254,89.001,90.87,88.648,87.983,88.122,75.416,79.728,75.999,47.14,54.86,49.66
