,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,72.362,75.458,80.839,69.037,71.342,81.025,72.797,72.219,71.901,66.034,67.78,66.862
1,72.129,75.533,81.159,70.195,71.476,80.14,70.959,72.371,71.139,67.491,65.327,66.658
2,71.729,75.25,81.336,68.128,72.168,82.359,70.402,72.701,69.292,65.704,68.556,68.998
3,72.179,75.555,81.7,70.377,72.781,75.538,69.062,69.631,71.134,68.953,65.086,66.179
4,71.811,75.579,80.01,71.508,72.04,82.897,69.892,72.009,69.962,68.044,66.764,65.253
5,72.009,75.411,80.84,70.335,72.61,76.918,69.043,72.456,71.106,66.437,65.419,65.766
6,71.803,75.535,81.011,70.469,71.167,75.413,72.554,70.838,70.115,68.378,66.217,66.052
7,71.975,75.62,81.174,68.393,73.99,79.348,72.468,71.16,72.389,66.385,65.532,66.656
8,71.988,75.345,81.688,67.1,75.782,77.971,71.349,71.196,70.633,66.667,66.004,67.809
9,71.898,75.469,81.066,67.231,75.717,77.327,70.063,71.902,70.819,67.548,68.542,68.172
