,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,71.964,77.082,82.171,73.44,73.48,76.45,73.192,73.813,73.381,63.988,62.488,64.119
1,71.823,76.515,82.361,73.15,75.06,80.84,74.243,74.633,74.719,63.195,62.31,64.447
2,72.128,77.198,82.139,72.86,73.07,75.35,74.862,74.673,73.298,62.069,62.021,64.158
3,71.728,77.152,82.426,68.31,73.21,75.59,73.159,73.604,73.738,62.298,61.993,64.743
4,71.375,76.714,82.257,69.53,74.78,80.52,74.87,74.908,73.366,63.414,62.574,64.845
5,72.036,76.965,82.131,69.21,77.66,78.34,74.689,74.185,74.864,64.889,61.969,63.269
6,71.662,76.718,82.547,70.78,73.9,75.86,74.509,73.802,73.841,61.145,62.751,64.123
7,71.784,77.119,82.707,68.28,74.3,76.13,73.401,73.994,74.892,63.05,64.637,64.475
8,71.969,77.171,81.799,71.09,76.87,78.61,73.556,74.533,73.596,61.604,62.303,62.224
9,71.98,77.132,82.666,69.09,77.88,79.26,74.012,74.973,73.621,64.405,63.352,62.291
