,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.191,0.187,0.199,0.207,0.226,0.193,0.248,0.235,0.245,0.205,0.174,0.17
1,0.196,0.195,0.203,0.211,0.195,0.223,0.242,0.251,0.233,0.191,0.188,0.214
2,0.196,0.207,0.201,0.242,0.212,0.218,0.231,0.252,0.26,0.211,0.171,0.185
3,0.194,0.199,0.201,0.2,0.246,0.216,0.255,0.237,0.259,0.218,0.195,0.196
4,0.199,0.195,0.2,0.183,0.175,0.194,0.254,0.238,0.247,0.189,0.182,0.225
5,0.196,0.2,0.197,0.199,0.174,0.234,0.249,0.256,0.253,0.202,0.209,0.21
6,0.197,0.199,0.201,0.237,0.208,0.22,0.244,0.241,0.258,0.213,0.221,0.172
7,0.196,0.204,0.204,0.198,0.177,0.236,0.257,0.239,0.246,0.206,0.22,0.226
8,0.197,0.202,0.205,0.18,0.205,0.215,0.234,0.23,0.24,0.204,0.216,0.19
9,0.189,0.202,0.191,0.222,0.214,0.247,0.232,0.236,0.25,0.219,0.212,0.224
