,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.219,0.214,0.202,0.204,0.202,0.177,0.183,0.182,0.199,0.154,0.157,0.179
1,0.223,0.211,0.199,0.196,0.195,0.183,0.194,0.199,0.205,0.151,0.164,0.161
2,0.225,0.209,0.186,0.208,0.197,0.245,0.183,0.182,0.184,0.171,0.15,0.155
3,0.217,0.216,0.197,0.213,0.171,0.185,0.203,0.184,0.191,0.175,0.16,0.149
4,0.219,0.216,0.205,0.228,0.18,0.173,0.185,0.192,0.182,0.144,0.143,0.156
5,0.225,0.218,0.201,0.212,0.217,0.187,0.186,0.205,0.195,0.147,0.166,0.176
6,0.223,0.226,0.2,0.241,0.193,0.224,0.185,0.186,0.203,0.146,0.148,0.167
7,0.215,0.218,0.193,0.23,0.201,0.207,0.204,0.204,0.183,0.142,0.158,0.172
8,0.218,0.223,0.184,0.178,0.194,0.239,0.2,0.195,0.196,0.141,0.159,0.14
9,0.22,0.22,0.2,0.199,0.24,0.247,0.193,0.188,0.198,0.163,0.145,0.173
