,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.22,0.236,0.215,0.198,0.226,0.155,0.215,0.194,0.212,0.278,0.244,0.27
1,0.225,0.233,0.226,0.184,0.173,0.222,0.19,0.228,0.205,0.274,0.251,0.245
2,0.224,0.231,0.212,0.197,0.238,0.22,0.227,0.219,0.198,0.259,0.242,0.265
3,0.224,0.235,0.213,0.231,0.203,0.185,0.209,0.218,0.199,0.264,0.271,0.256
4,0.232,0.238,0.214,0.193,0.154,0.194,0.193,0.23,0.207,0.25,0.262,0.249
5,0.228,0.233,0.207,0.168,0.208,0.201,0.206,0.195,0.21,0.277,0.279,0.266
6,0.231,0.23,0.213,0.165,0.163,0.218,0.208,0.217,0.192,0.276,0.243,0.272
7,0.243,0.223,0.209,0.225,0.19,0.219,0.214,0.196,0.229,0.253,0.273,0.258
8,0.226,0.232,0.213,0.169,0.181,0.24,0.216,0.191,0.213,0.261,0.268,0.28
9,0.227,0.234,0.214,0.151,0.204,0.183,0.222,0.22,0.225,0.247,0.269,0.252
