,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.215,0.19,0.215,0.218,0.173,0.221,0.138,0.13,0.112,0.183,0.186,0.204
1,0.211,0.189,0.218,0.166,0.185,0.22,0.117,0.128,0.142,0.171,0.181,0.176
2,0.21,0.183,0.205,0.161,0.204,0.164,0.125,0.11,0.147,0.172,0.175,0.191
3,0.209,0.18,0.207,0.203,0.176,0.165,0.145,0.143,0.14,0.179,0.198,0.177
4,0.214,0.183,0.22,0.169,0.188,0.197,0.119,0.12,0.118,0.178,0.203,0.209
5,0.219,0.186,0.218,0.211,0.18,0.194,0.122,0.141,0.148,0.173,0.182,0.174
6,0.211,0.183,0.215,0.222,0.209,0.199,0.111,0.137,0.116,0.192,0.188,0.199
7,0.209,0.187,0.208,0.17,0.206,0.228,0.134,0.129,0.123,0.189,0.202,0.206
8,0.219,0.182,0.205,0.168,0.158,0.205,0.136,0.149,0.135,0.195,0.2,0.205
9,0.217,0.183,0.22,0.235,0.155,0.179,0.144,0.126,0.132,0.184,0.17,0.194
