,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.208,0.183,0.165,0.239,0.219,0.169,0.192,0.199,0.194,0.206,0.226,0.188
1,0.212,0.184,0.168,0.233,0.183,0.177,0.185,0.207,0.191,0.194,0.181,0.229
2,0.201,0.187,0.162,0.227,0.184,0.225,0.193,0.2,0.175,0.189,0.208,0.196
3,0.203,0.191,0.163,0.207,0.201,0.165,0.22,0.206,0.205,0.187,0.18,0.217
4,0.209,0.185,0.165,0.215,0.15,0.24,0.21,0.212,0.201,0.205,0.207,0.222
5,0.205,0.184,0.163,0.176,0.156,0.161,0.188,0.174,0.224,0.212,0.213,0.201
6,0.207,0.183,0.164,0.206,0.195,0.222,0.221,0.177,0.227,0.225,0.221,0.185
7,0.206,0.186,0.168,0.229,0.151,0.236,0.184,0.208,0.197,0.183,0.224,0.21
8,0.204,0.185,0.166,0.192,0.187,0.167,0.23,0.195,0.173,0.191,0.216,0.195
9,0.208,0.187,0.164,0.158,0.199,0.155,0.171,0.218,0.215,0.186,0.218,0.2
